job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred,job_title_standardized,job_category,skills_list,tools_list,num_skills_required,num_tools_preferred,salary_min,salary_max,salary_avg,salary_category,city,country_code,country,region,industry_standardized,industry_category,experience_level_standardized,employment_type_standardized,company_size_standardized,posted_date_parsed,posted_year,posted_month,posted_quarter,posted_month_name
1,Foster and Sons,Healthcare,Data Analyst,"NumPy, Reinforcement Learning, PyTorch, Scikit-learn, GCP, FastAPI",Mid,Full-time,"Tracybury, AR",92860-109598,2025/8/20,Large,"KDB+, LangChain",Data Analyst,Data Analyst,"['NumPy', 'Reinforcement Learning', 'PyTorch', 'Scikit-learn', 'GCP', 'FastAPI']","['KDB+', 'LangChain']",6,2,92860,109598,101229.0,High (100K-150K),Tracybury,AR,Argentina,South America,Healthcare,Healthcare,Mid,Full-Time,Large,2025-08-20,2025,8,3,August
2,"Boyd, Myers and Ramirez",Tech,Computer Vision Engineer,"Scikit-learn, CUDA, SQL, Pandas",Senior,Full-time,"Lake Scott, CU",78523-144875,2024/3/22,Large,"FastAPI, KDB+, TensorFlow",Computer Vision Engineer,Computer Vision Engineer,"['Scikit-learn', 'CUDA', 'SQL', 'Pandas']","['FastAPI', 'KDB+', 'TensorFlow']",4,3,78523,144875,111699.0,High (100K-150K),Lake Scott,CU,Cuba,Caribbean,Tech,Technology,Senior,Full-Time,Large,2024-03-22,2024,3,1,March
3,King Inc,Tech,Quant Researcher,"MLflow, FastAPI, Azure, PyTorch, SQL, GCP",Entry,Full-time,"East Paige, CM",124496-217204,2025/9/18,Large,"BigQuery, PyTorch, Scikit-learn",Quant Researcher,Quant Researcher,"['MLflow', 'FastAPI', 'Azure', 'PyTorch', 'SQL', 'GCP']","['BigQuery', 'PyTorch', 'Scikit-learn']",6,3,124496,217204,170850.0,Very High (>150K),East Paige,CM,Cameroon,Africa,Tech,Technology,Entry,Full-Time,Large,2025-09-18,2025,9,3,September
4,"Cooper, Archer and Lynch",Tech,AI Product Manager,"Scikit-learn, C++, Pandas, LangChain, AWS, R",Mid,Full-time,"Perezview, FI",50908-123743,2024/5/8,Large,"TensorFlow, BigQuery, MLflow",Ai Product Manager,AI Product Manager,"['Scikit-learn', 'C++', 'Pandas', 'LangChain', 'AWS', 'R']","['TensorFlow', 'BigQuery', 'MLflow']",6,3,50908,123743,87325.5,Mid (70K-100K),Perezview,FI,Finland,Europe,Tech,Technology,Mid,Full-Time,Large,2024-05-08,2024,5,2,May
5,Hall LLC,Finance,Data Scientist,"Excel, Keras, SQL, Hugging Face",Senior,Contract,"North Desireeland, NE",98694-135413,2025/2/24,Large,"PyTorch, LangChain",Data Scientist,Data Scientist,"['Excel', 'Keras', 'SQL', 'Hugging Face']","['PyTorch', 'LangChain']",4,2,98694,135413,117053.5,High (100K-150K),North Desireeland,NE,Niger,Africa,Finance,Finance & Banking,Senior,Contract,Large,2025-02-24,2025,2,1,February
6,Ellis PLC,E-commerce,AI Product Manager,"GCP, Excel, Scikit-learn, MLflow",Senior,Remote,"South Kevin, TZ",92632-180718,2025/8/7,Large,"PyTorch, TensorFlow, FastAPI",Ai Product Manager,AI Product Manager,"['GCP', 'Excel', 'Scikit-learn', 'MLflow']","['PyTorch', 'TensorFlow', 'FastAPI']",4,3,92632,180718,136675.0,High (100K-150K),South Kevin,TZ,Tanzania,Africa,E-Commerce,Retail & E-commerce,Senior,Remote,Large,2025-08-07,2025,8,3,August
7,Matthews-Moses,Automotive,Data Analyst,"Python, Flask, Scikit-learn, GCP",Mid,Full-time,"West Shawn, LR",70575-88594,2024/12/23,Large,"PyTorch, MLflow",Data Analyst,Data Analyst,"['Python', 'Flask', 'Scikit-learn', 'GCP']","['PyTorch', 'MLflow']",4,2,70575,88594,79584.5,Mid (70K-100K),West Shawn,LR,Liberia,Africa,Automotive,Automotive & Transportation,Mid,Full-Time,Large,2024-12-23,2024,12,4,December
8,Mullins Ltd,Education,Data Scientist,"Excel, SQL, Flask",Entry,Internship,"Port Hailey, RU",63032-82144,2024/8/14,Large,BigQuery,Data Scientist,Data Scientist,"['Excel', 'SQL', 'Flask']",['BigQuery'],3,1,63032,82144,72588.0,Mid (70K-100K),Port Hailey,RU,Russia,Europe,Education,Education,Entry,Internship,Large,2024-08-14,2024,8,3,August
9,Aguilar PLC,Healthcare,ML Engineer,"Pandas, LangChain, GCP, Azure",Entry,Internship,"Butlermouth, GB",134239-188504,2025/9/15,Large,"Scikit-learn, LangChain, BigQuery",Ml Engineer,ML Engineer,"['Pandas', 'LangChain', 'GCP', 'Azure']","['Scikit-learn', 'LangChain', 'BigQuery']",4,3,134239,188504,161371.5,Very High (>150K),Butlermouth,GB,United Kingdom,Europe,Healthcare,Healthcare,Entry,Internship,Large,2025-09-15,2025,9,3,September
10,Parks LLC,Automotive,Computer Vision Engineer,"Excel, Reinforcement Learning, TensorFlow",Senior,Full-time,"Nicoleshire, BA",79361-165029,2025/8/7,Large,"MLflow, TensorFlow",Computer Vision Engineer,Computer Vision Engineer,"['Excel', 'Reinforcement Learning', 'TensorFlow']","['MLflow', 'TensorFlow']",3,2,79361,165029,122195.0,High (100K-150K),Nicoleshire,BA,Bosnia and Herzegovina,Europe,Automotive,Automotive & Transportation,Senior,Full-Time,Large,2025-08-07,2025,8,3,August
11,Vaughan-Ortiz,Tech,Data Scientist,"Keras, MLflow, Reinforcement Learning",Entry,Internship,"New Angelatown, LU",99964-125971,2024/1/10,Large,"LangChain, BigQuery, Scikit-learn",Data Scientist,Data Scientist,"['Keras', 'MLflow', 'Reinforcement Learning']","['LangChain', 'BigQuery', 'Scikit-learn']",3,3,99964,125971,112967.5,High (100K-150K),New Angelatown,LU,Luxembourg,Europe,Tech,Technology,Entry,Internship,Large,2024-01-10,2024,1,1,January
12,"Johnson, Guzman and Hernandez",Finance,ML Engineer,"Excel, Reinforcement Learning, Keras, Scikit-learn",Entry,Full-time,"Joychester, LT",63583-132670,2024/3/15,Large,"TensorFlow, PyTorch, BigQuery",Ml Engineer,ML Engineer,"['Excel', 'Reinforcement Learning', 'Keras', 'Scikit-learn']","['TensorFlow', 'PyTorch', 'BigQuery']",4,3,63583,132670,98126.5,Mid (70K-100K),Joychester,LT,Lithuania,Europe,Finance,Finance & Banking,Entry,Full-Time,Large,2024-03-15,2024,3,1,March
13,Martin and Sons,E-commerce,NLP Engineer,"C++, Hugging Face, Python, FastAPI",Entry,Full-time,"South Michael, FM",102770-117026,2023/9/27,Startup,LangChain,Nlp Engineer,NLP Engineer,"['C++', 'Hugging Face', 'Python', 'FastAPI']",['LangChain'],4,1,102770,117026,109898.0,High (100K-150K),South Michael,FM,Micronesia,Oceania,E-Commerce,Retail & E-commerce,Entry,Full-Time,Startup,2023-09-27,2023,9,3,September
